Datetime,MCP
"2023-01-02 12:45:00",5579.04
"2023-01-02 13:00:00",4999.24
"2023-01-02 13:15:00",5000.98
"2023-01-02 13:30:00",4749.76
"2023-01-02 13:45:00",4875.29
"2023-01-02 14:00:00",5380
"2023-01-02 14:15:00",5503.48
"2023-01-02 14:30:00",5379.06
"2023-01-02 14:45:00",5379.58
"2023-01-02 15:00:00",5500.78
"2023-01-02 15:15:00",5157.93
"2023-01-02 15:30:00",6148.18
"2023-01-02 15:45:00",6394.7
"2023-01-02 16:00:00",8000.13
"2023-01-02 16:15:00",8000.76
"2023-01-02 16:30:00",7500.81
"2023-01-02 16:45:00",8101.1
"2023-01-02 17:00:00",7999.03
"2023-01-02 17:15:00",6079.81
"2023-01-02 17:30:00",6500.97
"2023-01-02 17:45:00",6500.3
"2023-01-02 18:00:00",6999.78
"2023-01-02 18:15:00",6999.64
"2023-01-02 18:30:00",10968
"2023-01-02 18:45:00",12000
"2023-01-02 19:00:00",12000
"2023-01-02 19:15:00",12000
"2023-01-02 19:30:00",12000
"2023-01-02 19:45:00",9000.98
"2023-01-02 20:00:00",6000.81
"2023-01-02 20:15:00",5999.72
"2023-01-02 20:30:00",5540.58
"2023-01-02 20:45:00",5000.41
"2023-01-02 21:00:00",5000.46
"2023-01-02 21:15:00",4501.66
"2023-01-02 21:30:00",3680.81
"2023-01-02 21:45:00",3512.4
"2023-01-02 22:00:00",4215.83
"2023-01-02 22:15:00",4630.71
"2023-01-02 22:30:00",4828.79
"2023-01-02 22:45:00",4630.75
"2023-01-02 23:00:00",4630.78
"2023-01-02 23:15:00",3959.06
"2023-01-02 23:30:00",3640.55
"2023-01-02 23:45:00",3624.16
"2023-01-03 00:00:00",2702.96
"2023-01-03 00:15:00",2750.93
"2023-01-03 00:30:00",2891.78
"2023-01-03 00:45:00",2891.45
"2023-01-03 01:00:00",2910
"2023-01-03 01:15:00",3400.82
"2023-01-03 01:30:00",2768.81
"2023-01-03 01:45:00",2768.33
"2023-01-03 02:00:00",2651.49
"2023-01-03 02:15:00",2450.88
"2023-01-03 02:30:00",2700.47
"2023-01-03 02:45:00",2620.52
"2023-01-03 03:00:00",2450.96
"2023-01-03 03:15:00",2450.88
"2023-01-03 03:30:00",2650.53
"2023-01-03 03:45:00",2650.23
"2023-01-03 04:00:00",2810.74
"2023-01-03 04:15:00",4000.01
"2023-01-03 04:30:00",4828.69
"2023-01-03 04:45:00",4828.59
"2023-01-03 05:00:00",4260.53
"2023-01-03 05:15:00",4285.58
"2023-01-03 05:30:00",3570.23
"2023-01-03 05:45:00",3500.68
"2023-01-03 06:00:00",3634.8
"2023-01-03 06:15:00",4215.73
"2023-01-03 06:30:00",6000.07
"2023-01-03 06:45:00",6000.2
"2023-01-03 07:00:00",5600.96
"2023-01-03 07:15:00",6000.42
"2023-01-03 07:30:00",6999.52
"2023-01-03 07:45:00",8000.24
"2023-01-03 08:00:00",10000.42
